chunk	start	end	owned_sections
16	14377	15322	13.8,13.8.1,13.8.2,13.8.2.1,13.8.2.2,13.8.3,13.8.3.1,13.8.4,13.8.4.1,13.8.4.2,13.8.5,13.8.5.1,13.8.5.2,13.8.5.3,13.8.6,13.8.7,13.8.8,13.8.8.1,13.8.8.2,13.8.8.3,13.8.8.4,13.8.8.5,13.8.9,13.8.10
17	15323	15992	13.9,13.9.1,13.9.2,13.9.3,13.9.4,13.9.5,13.9.6,13.9.7,13.9.8,13.9.9,13.9.10,13.9.11,13.9.12,13.9.13
18	15993	16742	13.10,13.10.1,13.10.2,13.10.3,13.10.4,13.10.5,13.11,13.11.1,13.11.2,13.11.3,13.11.4,13.11.5,13.12,13.12.1,13.12.2,13.12.2.1,13.12.2.2,13.12.3,13.12.4,13.12.5,13.13,13.13.1,13.13.2,13.13.3
19	16743	17438	13.14,13.14.1,13.14.2,13.14.3,13.14.4,13.14.5,13.14.6,13.14.7,13.14.8,13.14.9,13.14.10,13.14.11,13.15,13.15.1,13.15.2,13.15.3,13.15.4,13.15.5,13.15.6,13.16
20	17439	18090	13.17,13.17.1,13.17.2,13.17.3,13.17.3.1,13.17.4,13.17.5,13.17.6,13.17.6.1,13.17.6.2,13.17.7,13.17.8,13.17.9,13.17.10,13.17.11,13.17.12,13.17.13
21	18091	18746	13.18,13.18.1,13.18.2,13.18.3,13.18.4,13.18.5,13.18.6,13.18.7,13.18.7.1,13.18.7.2,13.18.7.3,13.18.7.4,13.18.7.5,13.18.7.6,13.18.8,13.18.8.1,13.18.8.2,13.18.8.3,13.18.8.4,13.18.8.5,13.18.8.6,13.18.8.7
22	18747	19548	13.18.9,13.18.10,13.18.10.1,13.18.10.2,13.18.10.3,13.18.10.4,13.18.10.5,13.18.10.6,13.18.11,13.18.12,13.18.13,13.18.14,13.18.15,13.18.16
23	19549	20506	13.19,13.19.1,13.19.2,13.19.3,13.19.4,13.19.5,13.19.6,13.19.7,13.19.8,13.19.9,13.19.10,13.19.11,13.19.12,13.19.13,13.19.14,13.19.15,13.19.16
24	20510	21142	14,14.1,14.1.1,14.1.2,14.1.3,14.2,14.2.1,14.2.2,14.2.3,14.3,14.3.1,14.3.2,14.3.3,14.4,14.5,14.5.1,14.5.2,14.6,14.6.1,14.6.2,14.6.3,14.6.4,14.7,14.7.1,14.7.2,14.7.3,14.7.4,14.7.5,14.8,14.8.1,14.8.2,14.8.3,14.8.4,14.9
25	21146	21818	15,15.1,15.2,15.2.1,15.2.2,15.2.3,15.3,15.3.1,15.4,15.4.1,15.4.1.1,15.4.1.2,15.4.1.3,15.4.1.4,15.4.2,15.4.3,15.4.4,15.4.5,15.5,15.6,15.6.1,15.6.2,15.7,15.7.1,15.7.2,15.7.3,15.7.4
